MinIntr	Graph
132	karate
100	karate
69	karate
161	karate
143	karate
131	karate
78	karate
111	karate
130	karate
127	karate
138	karate
709	karate
161	karate
165	karate
144	karate
131	karate
109	karate
165	karate
113	karate
207	karate
85	karate
90	karate
124	karate
163	karate
152	karate
97	karate
188	karate
157	karate
106	karate
130	karate
96	karate
172	karate
177	karate
115	karate
88	karate
113	karate
169	karate
181	karate
153	karate
152	karate
132	karate
177	karate
121	karate
154	karate
128	karate
91	karate
164	karate
69	karate
150	karate
129	karate
116	karate
147	karate
120	karate
177	karate
102	karate
86	karate
105	karate
136	karate
214	karate
145	karate
625	dolphins
606	dolphins
606	dolphins
497	dolphins
530	dolphins
539	dolphins
505	dolphins
591	dolphins
567	dolphins
728	dolphins
648	dolphins
634	dolphins
439	dolphins
387	dolphins
533	dolphins
618	dolphins
433	dolphins
663	dolphins
477	dolphins
504	dolphins
507	dolphins
621	dolphins
562	dolphins
511	dolphins
558	dolphins
657	dolphins
644	dolphins
526	dolphins
435	dolphins
571	dolphins
1410	lesmis
1906	lesmis
1496	lesmis
1521	lesmis
1422	lesmis
1736	lesmis
1478	lesmis
1291	lesmis
1863	lesmis
2179	lesmis
1746	lesmis
1077	lesmis
1752	lesmis
1433	lesmis
1184	lesmis
1352	lesmis
1542	lesmis
1924	lesmis
1771	lesmis
1896	lesmis
1567	lesmis
1242	lesmis
1596	lesmis
1563	lesmis
1421	lesmis
1672	lesmis
13112	football
16225	football
16706	football
14769	football
15333	football
98	karate
158	karate
131	karate
134	karate

